Chromosome	Integration site	Dataset
chr1	51438449	Maldarelli
chr1	51707372	Maldarelli
chr1	52329878	Maldarelli
chr1	52707664	Maldarelli
chr1	52872112	Maldarelli
chr1	52904006	Maldarelli
chr1	52956520	Maldarelli
chr1	53232338	Maldarelli
chr1	66812170	Maldarelli
chr1	67404598	Maldarelli
chr1	67787986	Maldarelli
chr1	70696089	Maldarelli
chr1	78431326	Maldarelli
chr1	89634943	Maldarelli
chr1	92282309	Maldarelli
chr1	92291407	Maldarelli
chr1	93815734	Maldarelli
chr1	93815739	Maldarelli
chr1	100835813	Maldarelli
chr1	100863968	Maldarelli
chr1	101370519	Maldarelli
chr1	101402728	Maldarelli
chr1	101445580	Maldarelli
chr1	109443124	Maldarelli
chr1	111421307	Maldarelli
chr1	111714564	Maldarelli
chr1	112117465	Maldarelli
chr1	113126021	Maldarelli
chr1	116938166	Maldarelli
chr1	118475599	Maldarelli
chr1	144924607	Maldarelli
chr1	144929226	Maldarelli
chr1	145269674	Maldarelli
chr1	150058428	Maldarelli
chr1	150064479	Maldarelli
chr1	150092532	Maldarelli
chr1	150117310	Maldarelli
chr1	150395416	Maldarelli
chr1	150916189	Maldarelli
chr1	150974678	Maldarelli
chr1	151387473	Maldarelli
chr1	151647994	Maldarelli
chr1	153617087	Maldarelli
chr1	154185506	Maldarelli
chr1	155306086	Maldarelli
chr1	155414751	Maldarelli
chr1	155812766	Maldarelli
chr1	160291145	Maldarelli
chr1	160778046	Maldarelli
chr1	161175189	Maldarelli
chr1	167214377	Maldarelli
chr1	167241582	Maldarelli
chr1	167276059	Maldarelli
chr1	167646367	Maldarelli
chr1	169559927	Maldarelli
chr1	170043990	Maldarelli
chr1	172318820	Maldarelli
chr1	173917636	Maldarelli
chr1	184038325	Maldarelli
chr1	184930122	Maldarelli
chr1	192998382	Maldarelli
chr1	197160006	Maldarelli
chr1	197564955	Maldarelli
chr1	198506784	Maldarelli
chr1	198506789	Maldarelli
chr1	202735112	Maldarelli
chr1	203771882	Maldarelli
chr1	211838371	Maldarelli
chr1	211981735	Maldarelli
chr1	212928395	Maldarelli
chr1	213044365	Maldarelli
chr1	218476558	Maldarelli
chr1	224026620	Maldarelli
chr1	224312720	Maldarelli
chr1	224475382	Maldarelli
chr1	224614571	Maldarelli
chr1	226090619	Maldarelli
chr1	229441247	Maldarelli
chr1	229604369	Maldarelli
chr1	229626148	Maldarelli
chr1	230331850	Maldarelli
chr1	234529299	Maldarelli
chr1	234850415	Maldarelli
chr1	235341884	Maldarelli
chr1	235903532	Maldarelli
chr1	236003221	Maldarelli
chr1	241797242	Maldarelli
chr10	5212447	Maldarelli
chr10	12164240	Maldarelli
chr10	14761229	Maldarelli
chr10	14803841	Maldarelli
chr10	17225938	Maldarelli
chr10	17463293	Maldarelli
chr10	22988011	Maldarelli
chr10	27340515	Maldarelli
chr10	27428688	Maldarelli
chr10	27431382	Maldarelli
chr10	32118682	Maldarelli
chr10	49615286	Maldarelli
chr10	51575520	Maldarelli
chr10	64996206	Maldarelli
chr10	65018667	Maldarelli
chr10	69745271	Maldarelli
chr10	69745276	Maldarelli
chr10	69805753	Maldarelli
chr10	70093547	Maldarelli
chr10	74813921	Maldarelli
chr10	74830436	Maldarelli
chr10	75763674	Maldarelli
chr10	76307914	Maldarelli
chr10	80823541	Maldarelli
chr10	80823546	Maldarelli
chr10	89628791	Maldarelli
chr10	94687083	Maldarelli
chr10	103550647	Maldarelli
chr10	103680991	Maldarelli
chr10	103691570	Maldarelli
chr10	104043452	Maldarelli
chr10	104291288	Maldarelli
chr10	104391498	Maldarelli
chr10	105732896	Maldarelli
chr10	106016222	Maldarelli
chr10	112682061	Maldarelli
chr10	112731059	Maldarelli
chr10	112761673	Maldarelli
chr10	116242523	Maldarelli
chr10	116303540	Maldarelli
chr10	121336827	Maldarelli
chr11	220871	Maldarelli
chr11	225752	Maldarelli
chr11	246110	Maldarelli
chr11	757513	Maldarelli
chr11	761110	Maldarelli
chr11	954831	Maldarelli
chr11	3808167	Maldarelli
chr11	4061854	Maldarelli
chr11	4082091	Maldarelli
chr11	6745747	Maldarelli
chr11	9432282	Maldarelli
chr11	9463849	Maldarelli
chr11	11889607	Maldarelli
chr11	13703198	Maldarelli
chr11	18515986	Maldarelli
chr11	20415724	Maldarelli
chr11	31505013	Maldarelli
chr11	35010968	Maldarelli
chr11	43746590	Maldarelli
chr11	46851467	Maldarelli
chr11	62333622	Maldarelli
chr11	62507520	Maldarelli
chr11	62553636	Maldarelli
chr11	63615264	Maldarelli
chr11	63990195	Maldarelli
chr11	64502062	Maldarelli
chr11	64539318	Maldarelli
chr11	64542837	Maldarelli
chr11	64640757	Maldarelli
chr11	64853544	Maldarelli
chr11	64960843	Maldarelli
chr11	64963533	Maldarelli
chr11	64965952	Maldarelli
chr11	65196009	Maldarelli
chr11	65196438	Maldarelli
chr11	65204226	Maldarelli
chr11	65268211	Maldarelli
chr11	65271074	Maldarelli
chr11	65273531	Maldarelli
chr11	65400017	Maldarelli
chr11	65414265	Maldarelli
chr11	65622864	Maldarelli
chr11	65852444	Maldarelli
chr11	65852765	Maldarelli
chr11	65926950	Maldarelli
chr11	65931238	Maldarelli
chr11	65964889	Maldarelli
chr11	66409776	Maldarelli
chr11	66559737	Maldarelli
chr11	66559742	Maldarelli
chr11	66975159	Maldarelli
chr11	66984976	Maldarelli
chr11	66987043	Maldarelli
chr11	66990716	Maldarelli
chr11	66999189	Maldarelli
chr11	67270284	Maldarelli
chr11	67860260	Maldarelli
chr11	71672116	Maldarelli
chr11	71744572	Maldarelli
chr11	71766841	Maldarelli
chr11	71778170	Maldarelli
chr11	72574484	Maldarelli
chr11	72631999	Maldarelli
chr11	72760000	Maldarelli
chr11	72806987	Maldarelli
chr11	72824164	Maldarelli
chr11	72847866	Maldarelli
chr11	73217928	Maldarelli
chr11	73426904	Maldarelli
chr11	73914600	Maldarelli
chr11	74052501	Maldarelli
chr11	74124466	Maldarelli
chr11	75215968	Maldarelli
chr11	75672478	Maldarelli
chr11	75677218	Maldarelli
chr11	86030829	Maldarelli
chr11	89951130	Maldarelli
chr11	95712890	Maldarelli
chr11	104784287	Maldarelli
chr11	108061252	Maldarelli
chr11	108159694	Maldarelli
chr11	108170643	Maldarelli
chr11	108181338	Maldarelli
chr11	116865420	Maldarelli
chr11	117041597	Maldarelli
chr11	117902092	Maldarelli
chr11	117911525	Maldarelli
chr11	118092928	Maldarelli
chr11	118097865	Maldarelli
chr11	118313028	Maldarelli
chr11	118350965	Maldarelli
chr11	118361830	Maldarelli
chr11	118387848	Maldarelli
chr11	118451934	Maldarelli
chr11	118636877	Maldarelli
chr11	118636882	Maldarelli
chr11	121398660	Maldarelli
chr11	122562384	Maldarelli
chr11	122602884	Maldarelli
chr11	125502034	Maldarelli
chr11	128379482	Maldarelli
chr11	128379483	Maldarelli
chr11	128394397	Maldarelli
chr11	128571108	Maldarelli
chr12	427700	Maldarelli
chr12	899991	Maldarelli
chr12	905922	Maldarelli
chr12	986844	Maldarelli
chr12	6858388	Maldarelli
chr12	6927712	Maldarelli
chr12	8844917	Maldarelli
chr12	9845186	Maldarelli
chr12	9905287	Maldarelli
chr12	12020890	Maldarelli
chr12	12311516	Maldarelli
chr12	12605917	Maldarelli
chr12	12612377	Maldarelli
chr12	12874085	Maldarelli
chr12	12874089	Maldarelli
chr12	12874254	Maldarelli
chr12	12874259	Maldarelli
chr12	14524604	Maldarelli
chr12	14631396	Maldarelli
chr12	14631401	Maldarelli
chr12	14946436	Maldarelli
chr12	14946441	Maldarelli
chr12	22552354	Maldarelli
chr12	25393118	Maldarelli
chr12	28436644	Maldarelli
chr12	32670812	Maldarelli
chr12	39761136	Maldarelli
chr12	39997835	Maldarelli
chr12	44932819	Maldarelli
chr12	44932820	Maldarelli
chr12	46151066	Maldarelli
chr12	46259128	Maldarelli
chr12	46288394	Maldarelli
chr12	46595029	Maldarelli
chr12	46659299	Maldarelli
chr12	48078253	Maldarelli
chr12	48078258	Maldarelli
chr12	48216328	Maldarelli
chr12	49099489	Maldarelli
chr12	49857510	Maldarelli
chr12	50581250	Maldarelli
chr12	51031673	Maldarelli
chr12	51031678	Maldarelli
chr12	53619733	Maldarelli
chr12	53781431	Maldarelli
chr12	53852878	Maldarelli
chr12	54724415	Maldarelli
chr12	54810603	Maldarelli
chr12	55365350	Maldarelli
chr12	56314112	Maldarelli
chr12	56387531	Maldarelli
chr12	56430186	Maldarelli
chr12	56679797	Maldarelli
chr12	56829394	Maldarelli
chr12	57003625	Maldarelli
chr12	57015152	Maldarelli
chr12	57068066	Maldarelli
chr12	57466275	Maldarelli
chr12	57731635	Maldarelli
chr12	57761133	Maldarelli
chr12	57810978	Maldarelli
chr12	57898833	Maldarelli
chr12	57902466	Maldarelli
chr12	62749267	Maldarelli
chr12	62959923	Maldarelli
chr12	64186554	Maldarelli
chr12	65582596	Maldarelli
chr12	66709123	Maldarelli
chr12	69991964	Maldarelli
chr12	76215519	Maldarelli
chr12	76216573	Maldarelli
chr12	80220397	Maldarelli
chr12	92526400	Maldarelli
chr12	92870162	Maldarelli
chr12	93941574	Maldarelli
chr12	94765251	Maldarelli
chr12	99745275	Maldarelli
chr12	107353077	Maldarelli
chr12	107361746	Maldarelli
chr12	110585436	Maldarelli
chr12	111861124	Maldarelli
chr12	111956942	Maldarelli
chr12	112031791	Maldarelli
chr12	112478419	Maldarelli
chr12	112478424	Maldarelli
chr12	112498250	Maldarelli
chr12	112652549	Maldarelli
chr12	120443204	Maldarelli
chr12	121228486	Maldarelli
chr12	122852983	Maldarelli
chr12	122974739	Maldarelli
chr12	122975453	Maldarelli
chr12	122998024	Maldarelli
chr12	122998029	Maldarelli
chr12	123902207	Maldarelli
chr12	124073996	Maldarelli
chr12	124080553	Maldarelli
chr12	124080558	Maldarelli
chr12	125456619	Maldarelli
chr12	132248252	Maldarelli
chr12	133627862	Maldarelli
chr13	20595970	Maldarelli
chr13	21438770	Maldarelli
chr13	21438775	Maldarelli
chr13	21958282	Maldarelli
chr13	30829171	Maldarelli
chr13	32705980	Maldarelli
chr13	41813656	Maldarelli
chr13	46750461	Maldarelli
chr13	49006193	Maldarelli
chr13	49037328	Maldarelli
chr13	49037333	Maldarelli
chr13	49825736	Maldarelli
chr13	50343365	Maldarelli
chr13	52001839	Maldarelli
chr13	72178434	Maldarelli
chr13	73350565	Maldarelli
chr13	99959986	Maldarelli
chr13	108927255	Maldarelli
chr13	108927260	Maldarelli
chr14	21718225	Maldarelli
chr14	21845014	Maldarelli
chr14	31387214	Maldarelli
chr14	31397821	Maldarelli
chr14	32592446	Maldarelli
chr14	34660376	Maldarelli
chr14	35685806	Maldarelli
chr14	39760983	Maldarelli
chr14	45622116	Maldarelli
chr14	50972868	Maldarelli
chr14	51242264	Maldarelli
chr14	53124840	Maldarelli
chr14	56809551	Maldarelli
chr14	58792867	Maldarelli
chr14	62172337	Maldarelli
chr14	64174669	Maldarelli
chr14	64399969	Maldarelli
chr14	64532112	Maldarelli
chr14	65385774	Maldarelli
chr14	67785084	Maldarelli
chr14	67785089	Maldarelli
chr14	68441816	Maldarelli
chr14	68756069	Maldarelli
chr14	71394997	Maldarelli
chr14	71455378	Maldarelli
chr14	75606171	Maldarelli
chr14	75623893	Maldarelli
chr14	89834175	Maldarelli
chr14	90159332	Maldarelli
chr14	91387657	Maldarelli
chr14	91578693	Maldarelli
chr14	91959896	Maldarelli
chr14	92603958	Maldarelli
chr14	97296489	Maldarelli
chr14	99695552	Maldarelli
chr14	100716907	Maldarelli
chr14	102288207	Maldarelli
chr14	105527459	Maldarelli
chr15	33162703	Maldarelli
chr15	35429463	Maldarelli
chr15	39975091	Maldarelli
chr15	39975096	Maldarelli
chr15	40461684	Maldarelli
chr15	40513337	Maldarelli
chr15	41629593	Maldarelli
chr15	41972653	Maldarelli
chr15	42031493	Maldarelli
chr15	42049142	Maldarelli
chr15	44907163	Maldarelli
chr15	44962777	Maldarelli
chr15	44962782	Maldarelli
chr15	49464553	Maldarelli
chr15	50361227	Maldarelli
chr15	51218975	Maldarelli
chr15	52435273	Maldarelli
chr15	52791355	Maldarelli
chr15	52894767	Maldarelli
chr15	63422970	Maldarelli
chr15	63844687	Maldarelli
chr15	63942897	Maldarelli
chr15	64230395	Maldarelli
chr15	64594919	Maldarelli
chr15	64631341	Maldarelli
chr15	64654081	Maldarelli
chr15	65454286	Maldarelli
chr15	65946301	Maldarelli
chr15	66070410	Maldarelli
chr15	66078199	Maldarelli
chr15	72834938	Maldarelli
chr15	73910706	Maldarelli
chr15	74851830	Maldarelli
chr15	75156768	Maldarelli
chr15	78336567	Maldarelli
chr15	80385155	Maldarelli
chr15	80385160	Maldarelli
chr15	83861252	Maldarelli
chr15	85161682	Maldarelli
chr15	89815068	Maldarelli
chr15	89815073	Maldarelli
chr15	90935491	Maldarelli
chr15	90982148	Maldarelli
chr15	91085403	Maldarelli
chr15	91087208	Maldarelli
chr15	91115730	Maldarelli
chr15	91293490	Maldarelli
chr15	91334357	Maldarelli
chr16	482969	Maldarelli
chr16	583593	Maldarelli
chr16	708572	Maldarelli
chr16	713724	Maldarelli
chr16	1369875	Maldarelli
chr16	1589240	Maldarelli
chr16	1737202	Maldarelli
chr16	1764209	Maldarelli
chr16	1874351	Maldarelli
chr16	2126449	Maldarelli
chr16	2202409	Maldarelli
chr16	2308799	Maldarelli
chr16	2757985	Maldarelli
chr16	3022933	Maldarelli
chr16	3676180	Maldarelli
chr16	3916206	Maldarelli
chr16	3916211	Maldarelli
chr16	4094604	Maldarelli
chr16	11444836	Maldarelli
chr16	11858886	Maldarelli
chr16	12784049	Maldarelli
chr16	12784054	Maldarelli
chr16	14304534	Maldarelli
chr16	14304539	Maldarelli
chr16	14304981	Maldarelli
chr16	14304986	Maldarelli
chr16	14305384	Maldarelli
chr16	14305739	Maldarelli
chr16	14307572	Maldarelli
chr16	14307614	Maldarelli
chr16	14307633	Maldarelli
chr16	14307638	Maldarelli
chr16	14307670	Maldarelli
chr16	14307781	Maldarelli
chr16	14308320	Maldarelli
chr16	14308336	Maldarelli
chr16	14308826	Maldarelli
chr16	14308831	Maldarelli
chr16	14309457	Maldarelli
chr16	14310200	Maldarelli
chr16	14310205	Maldarelli
chr16	14310395	Maldarelli
chr16	14310400	Maldarelli
chr16	14310589	Maldarelli
chr16	14310594	Maldarelli
chr16	14681609	Maldarelli
chr16	15738248	Maldarelli
chr16	18831875	Maldarelli
chr16	18839551	Maldarelli
chr16	21977026	Maldarelli
chr16	23475831	Maldarelli
chr16	23860008	Maldarelli
chr16	23946910	Maldarelli
chr16	24026618	Maldarelli
chr16	24144986	Maldarelli
chr16	24562540	Maldarelli
chr16	24992612	Maldarelli
chr16	30549085	Maldarelli
chr16	30611838	Maldarelli
chr16	30611843	Maldarelli
chr16	30632935	Maldarelli
chr16	31131388	Maldarelli
chr16	31740868	Maldarelli
chr16	31753282	Maldarelli
chr16	31900036	Maldarelli
chr16	47538351	Maldarelli
chr16	48316013	Maldarelli
chr16	48316018	Maldarelli
chr16	48592656	Maldarelli
chr16	48621036	Maldarelli
chr16	50352524	Maldarelli
chr16	50794055	Maldarelli
chr16	50810260	Maldarelli
chr16	50818659	Maldarelli
chr16	53300580	Maldarelli
chr16	53488566	Maldarelli
chr16	53511739	Maldarelli
chr16	56248982	Maldarelli
chr16	56971954	Maldarelli
chr16	57030648	Maldarelli
chr16	66592761	Maldarelli
chr16	67066122	Maldarelli
chr16	67098530	Maldarelli
chr16	67191371	Maldarelli
chr16	67602189	Maldarelli
chr16	67622138	Maldarelli
chr16	67641825	Maldarelli
chr16	67740024	Maldarelli
chr16	68130647	Maldarelli
chr16	68130894	Maldarelli
chr16	68130899	Maldarelli
chr16	68133605	Maldarelli
chr16	68302577	Maldarelli
chr16	68595792	Maldarelli
chr16	69254834	Maldarelli
chr16	69474136	Maldarelli
chr16	69614624	Maldarelli
chr16	69634061	Maldarelli
chr16	69634065	Maldarelli
chr16	69683881	Maldarelli
chr16	70164167	Maldarelli
chr16	71936703	Maldarelli
chr16	75078944	Maldarelli
chr16	83022343	Maldarelli
chr16	84764959	Maldarelli
chr16	85951111	Maldarelli
chr16	87814835	Maldarelli
chr16	88650104	Maldarelli
chr16	88652099	Maldarelli
chr16	89176532	Maldarelli
chr16	89196309	Maldarelli
chr16	89384848	Maldarelli
chr16	89799982	Maldarelli
chr16	89870049	Maldarelli
chr16	89934449	Maldarelli
chr17	2506886	Maldarelli
chr17	4130306	Maldarelli
chr17	4179112	Maldarelli
chr17	4192884	Maldarelli
chr17	4222038	Maldarelli
chr17	4384982	Maldarelli
chr17	4596357	Maldarelli
chr17	4866623	Maldarelli
chr17	5412334	Maldarelli
chr17	6667842	Maldarelli
chr17	7158160	Maldarelli
chr17	7394577	Maldarelli
chr17	7396401	Maldarelli
chr17	7750774	Maldarelli
chr17	14002198	Maldarelli
chr17	15992500	Maldarelli
chr17	15995893	Maldarelli
chr17	16970031	Maldarelli
chr17	17832995	Maldarelli
chr17	18185166	Maldarelli
chr17	19767334	Maldarelli
chr17	25805204	Maldarelli
chr17	26372648	Maldarelli
chr17	26374745	Maldarelli
chr17	26492393	Maldarelli
chr17	27222272	Maldarelli
chr17	27766731	Maldarelli
chr17	27766736	Maldarelli
chr17	27816579	Maldarelli
chr17	27828819	Maldarelli
chr17	27877735	Maldarelli
chr17	27877739	Maldarelli
chr17	27877740	Maldarelli
chr17	28022895	Maldarelli
chr17	28166950	Maldarelli
chr17	28506777	Maldarelli
chr17	28506782	Maldarelli
chr17	28748473	Maldarelli
chr17	29580861	Maldarelli
chr17	29593635	Maldarelli
chr17	30326604	Maldarelli
chr17	33573066	Maldarelli
chr17	33744810	Maldarelli
chr17	33836299	Maldarelli
chr17	33947964	Maldarelli
chr17	33949754	Maldarelli
chr17	34147364	Maldarelli
chr17	35983574	Maldarelli
chr17	36944192	Maldarelli
chr17	37039967	Maldarelli
chr17	37685987	Maldarelli
chr17	37959219	Maldarelli
chr17	37960976	Maldarelli
chr17	37988486	Maldarelli
chr17	38018130	Maldarelli
chr17	38389928	Maldarelli
chr17	38561073	Maldarelli
chr17	38792898	Maldarelli
chr17	38793595	Maldarelli
chr17	38799819	Maldarelli
chr17	39574330	Maldarelli
chr17	40006638	Maldarelli
chr17	40145089	Maldarelli
chr17	40152722	Maldarelli
chr17	40384798	Maldarelli
chr17	40394733	Maldarelli
chr17	40404547	Maldarelli
chr17	40404703	Maldarelli
chr17	40414129	Maldarelli
chr17	40417846	Maldarelli
chr17	40420937	Maldarelli
chr17	40421408	Maldarelli
chr17	40421711	Maldarelli
chr17	40426483	Maldarelli
chr17	40507103	Maldarelli
chr17	40508544	Maldarelli
chr17	40508548	Maldarelli
chr17	40516545	Maldarelli
chr17	41237572	Maldarelli
chr17	41318325	Maldarelli
chr17	41576726	Maldarelli
chr17	42536355	Maldarelli
chr17	43235665	Maldarelli
chr17	43482547	Maldarelli
chr17	44126355	Maldarelli
chr17	44149772	Maldarelli
chr17	44176870	Maldarelli
chr17	45468901	Maldarelli
chr17	46385058	Maldarelli
chr17	47403627	Maldarelli
chr17	47481232	Maldarelli
chr17	47709840	Maldarelli
chr17	47793802	Maldarelli
chr17	49324526	Maldarelli
chr17	50595907	Maldarelli
chr17	56080489	Maldarelli
chr17	56638520	Maldarelli
chr17	57174268	Maldarelli
chr17	57876956	Maldarelli
chr17	60044806	Maldarelli
chr17	62141029	Maldarelli
chr17	62523069	Maldarelli
chr17	65094293	Maldarelli
chr17	65386003	Maldarelli
chr17	66524287	Maldarelli
chr17	72751128	Maldarelli
chr17	73144870	Maldarelli
chr17	73388549	Maldarelli
chr17	73398318	Maldarelli
chr17	73458571	Maldarelli
chr17	73480401	Maldarelli
chr17	73825137	Maldarelli
chr17	73951641	Maldarelli
chr17	73951646	Maldarelli
chr17	73970291	Maldarelli
chr17	74058353	Maldarelli
chr17	74424884	Maldarelli
chr17	74767214	Maldarelli
chr17	75445908	Maldarelli
chr17	76057121	Maldarelli
chr17	76063654	Maldarelli
chr17	76083679	Maldarelli
chr17	76136991	Maldarelli
chr17	76723234	Maldarelli
chr17	76725598	Maldarelli
chr17	76750447	Maldarelli
chr17	76757796	Maldarelli
chr17	76760576	Maldarelli
chr17	76770612	Maldarelli
chr17	78345622	Maldarelli
chr17	78618181	Maldarelli
chr17	78688943	Maldarelli
chr17	78694956	Maldarelli
chr17	78734380	Maldarelli
chr17	78735959	Maldarelli
chr17	78886736	Maldarelli
chr17	79211652	Maldarelli
chr17	79510021	Maldarelli
chr17	79511181	Maldarelli
chr17	79825667	Maldarelli
chr17	80093462	Maldarelli
chr17	80126836	Maldarelli
chr17	80421451	Maldarelli
chr17	80432093	Maldarelli
chr17	80488700	Maldarelli
chr17	80490388	Maldarelli
chr17	80502949	Maldarelli
chr17	80504490	Maldarelli
chr18	2701025	Maldarelli
chr18	2706187	Maldarelli
chr18	2970327	Maldarelli
chr18	2970328	Maldarelli
chr18	8310295	Maldarelli
chr18	9207228	Maldarelli
chr18	9212791	Maldarelli
chr18	9235426	Maldarelli
chr18	12611931	Maldarelli
chr18	13060399	Maldarelli
chr18	13335504	Maldarelli
chr18	13335509	Maldarelli
chr18	19305668	Maldarelli
chr18	19305669	Maldarelli
chr18	19409559	Maldarelli
chr18	20792219	Maldarelli
chr18	23719147	Maldarelli
chr18	25559558	Maldarelli
chr18	43813346	Maldarelli
chr18	44695083	Maldarelli
chr18	44695088	Maldarelli
chr18	48720660	Maldarelli
chr18	55394951	Maldarelli
chr18	58523446	Maldarelli
chr18	61080942	Maldarelli
chr18	61080947	Maldarelli
chr18	72012138	Maldarelli
chr18	72659708	Maldarelli
chr18	74603220	Maldarelli
chr19	810990	Maldarelli
chr19	1017731	Maldarelli
chr19	1190295	Maldarelli
chr19	1203468	Maldarelli
chr19	1218050	Maldarelli
chr19	1258617	Maldarelli
chr19	1597992	Maldarelli
chr19	2006221	Maldarelli
chr19	2092508	Maldarelli
chr19	2155563	Maldarelli
chr19	2185796	Maldarelli
chr19	2592121	Maldarelli
chr19	2844520	Maldarelli
chr19	3534312	Maldarelli
chr19	6254110	Maldarelli
chr19	6847293	Maldarelli
chr19	7473393	Maldarelli
chr19	7489445	Maldarelli
chr19	7497321	Maldarelli
chr19	7697357	Maldarelli
chr19	8486960	Maldarelli
chr19	8525056	Maldarelli
chr19	8527192	Maldarelli
chr19	10271801	Maldarelli
chr19	10288219	Maldarelli
chr19	10317375	Maldarelli
chr19	10317380	Maldarelli
chr19	10333384	Maldarelli
chr19	10416716	Maldarelli
chr19	10723114	Maldarelli
chr19	10772544	Maldarelli
chr19	10772549	Maldarelli
chr19	10780174	Maldarelli
chr19	10838392	Maldarelli
chr19	10885393	Maldarelli
chr19	11021283	Maldarelli
chr19	11084562	Maldarelli
chr19	11230742	Maldarelli
chr19	11836334	Maldarelli
chr19	12278194	Maldarelli
chr19	12286745	Maldarelli
chr19	15522056	Maldarelli
chr19	15572384	Maldarelli
chr19	15644391	Maldarelli
chr19	16500352	Maldarelli
chr19	16510792	Maldarelli
chr19	16547883	Maldarelli
chr19	17199823	Maldarelli
chr19	17308365	Maldarelli
chr19	17875949	Maldarelli
chr19	18179987	Maldarelli
chr19	18268515	Maldarelli
chr19	18268520	Maldarelli
chr19	19400795	Maldarelli
chr19	19400800	Maldarelli
chr19	19544919	Maldarelli
chr19	19544924	Maldarelli
chr19	19546809	Maldarelli
chr19	19555089	Maldarelli
chr19	21480727	Maldarelli
chr19	22026326	Maldarelli
chr19	30450413	Maldarelli
chr19	30461559	Maldarelli
chr19	30519876	Maldarelli
chr19	34676070	Maldarelli
chr19	34942292	Maldarelli
chr19	35640612	Maldarelli
chr19	36141877	Maldarelli
chr19	36503870	Maldarelli
chr19	36570533	Maldarelli
chr19	36570534	Maldarelli
chr19	36896167	Maldarelli
chr19	37820603	Maldarelli
chr19	37871219	Maldarelli
chr19	38090178	Maldarelli
chr19	38135869	Maldarelli
chr19	38194594	Maldarelli
chr19	38243623	Maldarelli
chr19	39851186	Maldarelli
chr19	39878352	Maldarelli
chr19	39952562	Maldarelli
chr19	40845559	Maldarelli
chr19	41796530	Maldarelli
chr19	42063312	Maldarelli
chr19	42063816	Maldarelli
chr19	42073036	Maldarelli
chr19	42616319	Maldarelli
chr19	42780680	Maldarelli
chr19	44652316	Maldarelli
chr19	45112447	Maldarelli
chr19	46116777	Maldarelli
chr19	46352612	Maldarelli
chr19	47087033	Maldarelli
chr19	47603701	Maldarelli
chr19	47603706	Maldarelli
chr19	47655988	Maldarelli
chr19	47677503	Maldarelli
chr19	48751064	Maldarelli
chr19	49301554	Maldarelli
chr19	49423780	Maldarelli
chr19	50079055	Maldarelli
chr19	50079056	Maldarelli
chr19	50081319	Maldarelli
chr19	50103338	Maldarelli
chr19	50126880	Maldarelli
chr19	50257395	Maldarelli
chr19	50262155	Maldarelli
chr19	50262160	Maldarelli
chr19	50326643	Maldarelli
chr19	50327919	Maldarelli
chr19	50390718	Maldarelli
chr19	52835160	Maldarelli
chr19	53189332	Maldarelli
chr19	53191846	Maldarelli
chr19	53356428	Maldarelli
chr19	56169789	Maldarelli
chr19	56655086	Maldarelli
chr19	58267515	Maldarelli
chr19	58292426	Maldarelli
chr19	58708561	Maldarelli
chr2	20455530	Maldarelli
chr2	28080485	Maldarelli
chr2	28080490	Maldarelli
chr2	28176256	Maldarelli
chr2	28520051	Maldarelli
chr2	28846760	Maldarelli
chr2	32318738	Maldarelli
chr2	32318743	Maldarelli
chr2	32450173	Maldarelli
chr2	37375237	Maldarelli
chr2	39563264	Maldarelli
chr2	42502067	Maldarelli
chr2	43742866	Maldarelli
chr2	43811727	Maldarelli
chr2	54818655	Maldarelli
chr2	54820689	Maldarelli
chr2	61744349	Maldarelli
chr2	64327625	Maldarelli
chr2	64340075	Maldarelli
chr2	64430121	Maldarelli
chr2	65328189	Maldarelli
chr2	68419981	Maldarelli
chr2	69601395	Maldarelli
chr2	69789124	Maldarelli
chr2	69820999	Maldarelli
chr2	69985516	Maldarelli
chr2	70326850	Maldarelli
chr2	70326855	Maldarelli
chr2	70437377	Maldarelli
chr2	70437382	Maldarelli
chr2	70455967	Maldarelli
chr2	70514207	Maldarelli
chr2	84882440	Maldarelli
chr2	86098493	Maldarelli
chr2	86408869	Maldarelli
chr2	87241304	Maldarelli
chr2	99271855	Maldarelli
chr2	106799056	Maldarelli
chr2	106799061	Maldarelli
chr2	113409191	Maldarelli
chr2	120637712	Maldarelli
chr2	128253766	Maldarelli
chr2	128279836	Maldarelli
chr2	135046038	Maldarelli
chr2	136725001	Maldarelli
chr2	149538493	Maldarelli
chr2	159370503	Maldarelli
chr2	161334915	Maldarelli
chr2	161334916	Maldarelli
chr2	162044337	Maldarelli
chr2	169947170	Maldarelli
chr2	172078548	Maldarelli
chr2	174788356	Maldarelli
chr2	174805953	Maldarelli
chr2	176847039	Maldarelli
chr2	182050613	Maldarelli
chr2	192549900	Maldarelli
chr2	197006620	Maldarelli
chr2	198084497	Maldarelli
chr2	204313032	Maldarelli
chr2	205919644	Maldarelli
chr2	208435693	Maldarelli
chr2	208441534	Maldarelli
chr2	208589605	Maldarelli
chr2	210522757	Maldarelli
chr2	213978506	Maldarelli
chr2	213988491	Maldarelli
chr2	219101540	Maldarelli
chr2	219552263	Maldarelli
chr2	220044215	Maldarelli
chr2	234923784	Maldarelli
chr2	242265349	Maldarelli
chr2	242265354	Maldarelli
chr2	242277650	Maldarelli
chr2	242315100	Maldarelli
chr2	242652039	Maldarelli
chr20	3961150	Maldarelli
chr20	5562184	Maldarelli
chr20	5563263	Maldarelli
chr20	21345760	Maldarelli
chr20	30991170	Maldarelli
chr20	31424525	Maldarelli
chr20	34234466	Maldarelli
